final_book_title,authorLabel,genreLabel,final_publisher,release_year
28 000 km pour une orchidée,Georges Jougla,narrative,Fournel Editions,
A Dictionary of Arabic Grammar from the Holy Quran,"Daḥdāḥ, Anṭwān",non-fiction,Dār Al-Kitāb Al-Aʿrabī,
a prayer for the crown-shy,,,reactor (magazine),2022
a psalm for the wild-built,,,tor books,2021
a psalm for the wild-built,,,tor books,2021
"Aimé Césaire's African Theater: Of Poets, Prophets, and Politicians",Femi Ojo Ade,essay,Africa World Press,
American Salvage,Bonnie Jo Campbell,high literature,Wayne State University Press,
Amphora. The Porcelain and Ceramics Manufactory in Northern Bohemia,Volker Mölle Riessner,non-fiction literature,Books on Demand,
An Unfinished Dream: A Chronicle of the Group Plan of The Claremont Colleges,Robert J. Bernard,history book,Claremont Colleges,
axiomatic (short story collection),,,orion publishing group,1995
Bacchae of Euripides: a communion rite.,Wole Soyinka,The Tragedies of Euripides,Methuen Publishing,
Bacchae of Euripides: a communion rite.,Wole Soyinka,The Tragedies of Euripides,W. W. Norton & Company,
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
betrayal: the final act of the trump show,,,e. p. dutton,2021
bone gap (novel),,,harpercollins,2015
bone gap (novel),,,harpercollins,2015
Cajarc en Quercy : un village occitan à l'épreuve de l'Histoire,Bernard Connac,history book,Toute latitude,
code of honor (gratz novel),,,scholastic corporation,2015
code of honor (gratz novel),,,scholastic corporation,2015
Concise German-Arabic dictionary,Ernst Harder,bilingual dictionary,Carl Winter's Universiy library,
Consecrated Ground,George Boyd,tragedy,Talonbooks,
Consecrated Ground,George Boyd,drama fiction,Talonbooks,
"Criminals, idiots, women and minors",Frances Power Cobbe,essay,A. Ireland and Co.,
Dictionary of disaster and emergency termminology,Ibrahim El-Tikaina,bilingual dictionary,Naif Arab University for Security Sciences,
divergent (novel),,,harpercollins,2011
divergent (novel),,,harpercollins,2011
divergent (novel),,,harpercollins,2011
eat a peach (autobiography),,,crown publishing group,2020
elatsoe,,,levine querido,2020
"Estoril, los años dorados.",Ricardo Mateos Sáinz de Medrano,history book,La Esfera de los Libros,
fatal legacy,,,hodder & stoughton,2023
fatal legacy,,,hodder & stoughton,2023
Feuilles de Momidzi,Léon de Rosny,essay,Ernest Leroux,
Feuilles de Momidzi,Léon de Rosny,non-fiction,Ernest Leroux,
firewalkers (novella),,,solaris books,2020
firewalkers (novella),,,solaris books,2020
"friends, lovers, and the big terrible thing",,,macmillan publishers,2022
From Alchemy to Quarks The Study of Physics as a Liberal Art),Sheldon Glashow,popular science literature,Brooks/Cole Publishing,
From Scratch,Tembi Locke,memoir,Simon & Schuster,
front row at the trump show,,,e. p. dutton,2020
Gareth Jones: The Man Who Knew Too Much,Mirosław Wlekły,biography,Znak,
"Golden Gulag: Prisons, Surplus, Crisis, and Opposition in Globalizing California",Ruth Wilson Gilmore,non-fiction,University of California Press,
great big beautiful life,,,berkley books,2025
great big beautiful life,,,berkley books,2025
great big beautiful life,,,berkley books,2025
harmattan season,,,tor books,2025
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
HRABI Duszkiem tak!,Dariusz Kamys,biography,Wydawnictwo Otwarte,
i'm so glad we had this time together,,,pantheon books,2024
