speciesLabel,genusLabel,familyLabel,habitatLabel
Greater Asiatic yellow bat,Scotophilus,Scotophilini,forest
Greater Asiatic yellow bat,Scotophilus,Scotophilini,shrubland
Tylonycteris fulvida,Tylonycteris,Vespertilioninae,bamboo grove
Murina rongjiangensis,Murina,Murininae,forest
Tylonycteris tonkinensis,Tylonycteris,Vespertilioninae,forest
Murina jinchui,Murina,Murininae,forest
Indian grey mongoose,Herpestes,Herpestidae,shrubland
Short-tailed gymnure,Hylomys,Galericinae,forest
Short-tailed gymnure,Hylomys,Galericinae,shrubland
Common noctule,Nyctalus,Vespertilioninae,forest
Chinese Noctule,Nyctalus,Vespertilioninae,forest
Asian particolored bat,Vespertilio,Vespertilionini,forest
Tylonycteris pygmaea,Tylonycteris,Vespertilioninae,forest
Greater Asiatic yellow bat,Scotophilus,Nycticeiini,forest
Greater Asiatic yellow bat,Scotophilus,Nycticeiini,shrubland
wrinkle-lipped free-tailed bat,Chaerephon,Molossinae,forest
Murina shuipuensis,Murina,Murininae,forest
Eptesicus pachyomus,Eptesicus,Eptesicini,shrubland
Great evening bat,Ia,Vespertilionini,forest
Parti-coloured bat,Vespertilio,Vespertilionini,forest
Parti-coloured bat,Vespertilio,Vespertilionini,shrubland
Spotted Seal,Phoca,Phocidae,forest
Spotted Seal,Phoca,Phocidae,shrubland
Mesechinus miodon,Mesechinus,hedgehog,forest
Mesechinus miodon,Mesechinus,hedgehog,shrubland
Asian particolored bat,Vespertilio,Vespertilioninae,forest
Herpestes javanicus,Herpestes,Herpestidae,forest
Hoffmann's Two-toed Sloth,Choloepus,Choloepodidae,Ecuador
Greater Asiatic yellow bat,Scotophilus,Vespertilioninae,forest
Greater Asiatic yellow bat,Scotophilus,Vespertilioninae,shrubland
long-eared hedgehog,Hemiechinus,hedgehog,desert
long-eared hedgehog,Hemiechinus,hedgehog,shrubland
Hoffmann's Two-toed Sloth,Choloepus,Megalonychidae,Ecuador
Tylonycteris fulvida,Tylonycteris,Vespertilionini,forest
Great evening bat,Ia,Vespertilioninae,forest
Parti-coloured bat,Vespertilio,Vespertilioninae,forest
Parti-coloured bat,Vespertilio,Vespertilioninae,shrubland
Murina liboensis,Murina,Murininae,forest
Hugh's hedgehog,Mesechinus,hedgehog,grassland
Hugh's hedgehog,Mesechinus,hedgehog,forest
Mesechinus wangi,Mesechinus,hedgehog,forest
Mesechinus wangi,Mesechinus,hedgehog,shrubland
Tylonycteris fulvida,Tylonycteris,Vespertilionini,bamboo grove
Common noctule,Nyctalus,Pipistrellini,forest
Chinese Noctule,Nyctalus,Pipistrellini,forest
Tylonycteris tonkinensis,Tylonycteris,Vespertilionini,forest
Spotted Seal,Phoca,Phocini,forest
Spotted Seal,Phoca,Phocini,shrubland
Lesser hairy-winged bat,Harpiocephalus,Murininae,forest
Tylonycteris pygmaea,Tylonycteris,Vespertilionini,forest
Eptesicus pachyomus,Eptesicus,Vespertilioninae,shrubland
Tylonycteris fulvida,Tylonycteris,Vespertilioninae,forest
Daurian hedgehog,Mesechinus,hedgehog,grassland
Daurian hedgehog,Mesechinus,hedgehog,forest
crab-eating mongoose,Herpestes,Herpestidae,forest
Murina fanjingshanensis,Murina,Murininae,forest
Thai horseshoe bat,Rhinolophus,Rhinolophinae,forest
Large Indian civet,Viverra,Viverrinae,forest
Burmese whiskered bat,Myotis,Myotinae,forest
Large Indian civet,Viverra,Viverrinae,shrubland
Submyotodon latirostris,Submyotodon,Myotinae,forest
Prionodon pardicolor,Prionodon,Prionodontinae,forest
Prionodon pardicolor,Prionodon,Prionodontinae,shrubland
Mustela africana,weasel,Mustelinae,Ecuador
Mustela kathiah,weasel,Mustelinae,shrubland
Rhinolophus xinzhongguoensis,Rhinolophus,Rhinolophinae,forest
Rhinolophus yunensis,Rhinolophus,Rhinolophinae,forest
Owston's palm civet,Chrotogale,Hemigalinae,forest
King horseshoe bat,Rhinolophus,Rhinolophinae,forest
Nepalese Myotis,Myotis,Myotinae,forest
Rousettus lescheultii,Rousettus,Pteropodidae,forest
Nepalese Myotis,Myotis,Myotinae,shrubland
Tadarida teniotis,Tadarida,Molossidae,forest
Mustela sibirica,weasel,Mustelinae,forest
Mustela sibirica,weasel,Mustelinae,shrubland
Megaderma lyra,Lyroderma,Megaderma,forest
Ryukyu Flying Fox,Pteropus,Pteropodidae,forest
Tailless fruit bat,Megaerops,Pteropodinae,forest
Disk-footed bat,Eudiscopus,Myotinae,forest
masked palm civet,Paguma,Paradoxurinae,forest
Hipposideros cineraceus,Hipposideros,Hipposideridae,forest
Lesser Brown Horseshoe Bat,Rhinolophus,Rhinolophinae,forest
Little Nepalese Horseshoe Bat,Rhinolophus,Rhinolophinae,forest
yellow-throated marten,marten,Guloninae,forest
Plecotus ognevi,Plecotus,Plecotini,forest
Plecotus ognevi,Plecotus,Plecotini,shrubland
Savi's Pipistrelle,Hypsugo,Vespertilionini,forest
Savi's Pipistrelle,Hypsugo,Vespertilionini,shrubland
Murina gracilis,Murina,Murina,forest
Melogale persota,Melogale,Helictidinae,forest
Melogale persota,Melogale,Helictidinae,shrubland
Long-tongued Fruit Bat,Macroglossus,Pteropodidae,forest
Mustela eversmanii,weasel,Mustelinae,grassland
Mustela eversmanii,weasel,Mustelinae,shrubland
